2019-01-21T06:48:26.481Z - info: Website generation started at 2:48:23 PM
2019-01-21T06:48:28.294Z - info: Building assets...
2019-01-21T06:48:30.244Z - info: Assets built
2019-01-21T06:48:30.245Z - info: Generating pages...
2019-01-21T06:49:19.274Z - info: Website generation started at 2:49:18 PM
2019-01-21T06:49:20.963Z - info: Building assets...
2019-01-21T06:49:22.558Z - info: Assets built
2019-01-21T06:49:22.558Z - info: Generating pages...
2019-01-21T06:49:56.513Z - info: Pages built
2019-01-21T06:50:05.501Z - info: Website generation complete! Total build time: 47.33s
2019-01-21T06:50:05.513Z - info: Generate Site durationMs=47342
2019-01-21T06:50:05.859Z - info: Serving "C:\repos\nus-te3201\te3201-2019-website\_site" at http://127.0.0.1:8080
2019-01-21T06:50:05.859Z - info: Press CTRL+C to stop ...
2019-01-21T06:50:05.891Z - info: Site data built
2019-01-21T07:20:19.072Z - info: [3:20:19 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\booleans\text.md
2019-01-21T07:20:20.074Z - verbose: Rebuild affected paths: C:\repos\nus-te3201\te3201-2019-website\programming\booleans\text.md
2019-01-21T07:20:20.077Z - info: Rebuilding 2 pages
2019-01-21T07:20:20.384Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\toc\flowcontrol.md
2019-01-21T07:20:20.389Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\common\header.md
2019-01-21T07:20:20.389Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\schedule\python-topics.md
2019-01-21T07:20:20.390Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\if\text.md
2019-01-21T07:20:20.390Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\while\text.md
2019-01-21T07:20:20.390Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\for\text.md
2019-01-21T07:20:20.390Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\import\text.md
2019-01-21T07:20:20.390Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\exit\text.md
2019-01-21T07:20:20.397Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\_markbind\navigation\programming-sitenav.md
2019-01-21T07:20:20.397Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\if\e-even.md
2019-01-21T07:20:20.398Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\if\e-grades.md
2019-01-21T07:20:20.398Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\if\e-gradeAnalyzerExtended.md
2019-01-21T07:20:20.398Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\while\e-vending-oneCoin.md
2019-01-21T07:20:20.398Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\while\e-vending-multipleCoins.md
2019-01-21T07:20:20.398Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\while\e-vending-allowAbort.md
2019-01-21T07:20:20.399Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\while\e-vending-legitCoins.md
2019-01-21T07:20:20.399Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\for\e-multiplicationTable.md
2019-01-21T07:20:20.399Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\for\e-multiplicationTableExtended.md
2019-01-21T07:20:20.399Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\for\e-threeDiceThrows.md
2019-01-21T07:20:20.399Z - info: [3:20:20 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\import\e-circleArea.md
2019-01-21T07:20:29.774Z - info: Pages rebuilt
2019-01-21T07:20:29.785Z - info: Site data built
